Company ID,Company,Is Publisher,Statement ID,URL,Override URL,Companies House Number,Industry,HQ,Is Also Covered,UK Modern Slavery Act,California Transparency in Supply Chains Act,Australia Modern Slavery Act,Period Covered
6926,Airwair International Ltd,true,8754,https://www.drmartens.com/medias/sys_master/h47/h8d/8881030004766.pdf,,03009359,"Textiles, Apparel & Luxury Goods",United Kingdom,false,true,false,false,2015-2016
6933,Alfred Dunhill Limited,true,12650,https://www.dunhill.com/gb/Help/LegalArea/ModernSlaveryAct,,00191031,"Textiles, Apparel & Luxury Goods",United Kingdom,false,true,false,false,2016-2017
6933,Alfred Dunhill Limited,true,8761,https://www.dunhill.com/gb/Help/LegalArea/ModernSlaveryAct,,00191031,"Textiles, Apparel & Luxury Goods",United Kingdom,false,true,false,false,2015-2016
7063,BESTSELLER A/S,true,38773,https://about.bestseller.com/media/2723/modern-slavery-act-bestseller-statement-2017-18.pdf,"",,"Textiles, Apparel & Luxury Goods",Denmark,false,true,false,false,2017-2018
7063,BESTSELLER A/S,true,27061,http://about.bestseller.com/media/2289/modern-slavery-act-bestseller-statement-2016-17.pdf,,,"Textiles, Apparel & Luxury Goods",Denmark,false,true,false,false,2016-2017
7063,BESTSELLER A/S,true,8891,http://about.bestseller.com/media/1914/bestsellers-modern-slavery-statement-2016.pdf,,,"Textiles, Apparel & Luxury Goods",Denmark,false,true,false,false,2015-2016
7098,Bridge of Weir Leather Company,true,8926,http://www.bowleather.com/Heritage/Governance.aspx,,SC015274,"Textiles, Apparel & Luxury Goods",United Kingdom,false,true,false,false,2015-2016
7127,Burberry Group plc,true,35871,https://www.business-humanrights.org/sites/default/files/Transparency%20in%20the%20Supply%20Chain%20and%20Modern%20Slavery%20Statement%20-%20Burberry.pdf,,03458224,"Textiles, Apparel & Luxury Goods",United Kingdom,false,true,true,false,2018-2019
29694,Burberry Europe Holdings Limited,false,35871,https://www.business-humanrights.org/sites/default/files/Transparency%20in%20the%20Supply%20Chain%20and%20Modern%20Slavery%20Statement%20-%20Burberry.pdf,,,Diversified Financial Services,United Kingdom,true,true,true,false,2018-2019
29696,Burberry Haymarket Limited,false,35871,https://www.business-humanrights.org/sites/default/files/Transparency%20in%20the%20Supply%20Chain%20and%20Modern%20Slavery%20Statement%20-%20Burberry.pdf,,,Professional Services,United Kingdom,true,true,true,false,2018-2019
29697,Burberry Holdings Limited,false,35871,https://www.business-humanrights.org/sites/default/files/Transparency%20in%20the%20Supply%20Chain%20and%20Modern%20Slavery%20Statement%20-%20Burberry.pdf,,,Diversified Financial Services,United Kingdom,true,true,true,false,2018-2019
29693,Burberry International  Holdings  Limited,false,35871,https://www.business-humanrights.org/sites/default/files/Transparency%20in%20the%20Supply%20Chain%20and%20Modern%20Slavery%20Statement%20-%20Burberry.pdf,,,Capital Markets,United Kingdom,true,true,true,false,2018-2019
23502,Burberry Limited,false,35871,https://www.business-humanrights.org/sites/default/files/Transparency%20in%20the%20Supply%20Chain%20and%20Modern%20Slavery%20Statement%20-%20Burberry.pdf,,00162636,"Textiles, Apparel & Luxury Goods",United Kingdom,true,true,true,false,2018-2019
29698,Burberry London Limited,false,35871,https://www.business-humanrights.org/sites/default/files/Transparency%20in%20the%20Supply%20Chain%20and%20Modern%20Slavery%20Statement%20-%20Burberry.pdf,,,Diversified Financial Services,United Kingdom,true,true,true,false,2018-2019
29691,Burberrys Limited,false,35871,https://www.business-humanrights.org/sites/default/files/Transparency%20in%20the%20Supply%20Chain%20and%20Modern%20Slavery%20Statement%20-%20Burberry.pdf,,,"Textiles, Apparel & Luxury Goods",United Kingdom,true,true,true,false,2018-2019
29692,Burberry (UK)  Limited,false,35871,https://www.business-humanrights.org/sites/default/files/Transparency%20in%20the%20Supply%20Chain%20and%20Modern%20Slavery%20Statement%20-%20Burberry.pdf,,,Diversified Financial Services,United Kingdom,true,true,true,false,2018-2019
29695,Thomas Burberry Holdings Limited,false,35871,https://www.business-humanrights.org/sites/default/files/Transparency%20in%20the%20Supply%20Chain%20and%20Modern%20Slavery%20Statement%20-%20Burberry.pdf,,,Diversified Financial Services,United Kingdom,true,true,true,false,2018-2019
7127,Burberry Group plc,true,27609,https://www.burberryplc.com/content/dam/burberry/corporate/Responsibility/Responsibility_docs/Policies-and-Commitments-assets/Modern%20Slavery%20-%20California%20Statement%20-%20June%202018.pdf,,03458224,"Textiles, Apparel & Luxury Goods",United Kingdom,false,true,true,false,2017-2018
7127,Burberry Group plc,true,12162,https://www.burberryplc.com/content/dam/burberry/corporate/Responsibility/Responsibility_docs/Policies_statements/Policies/Updated_Policies/Modern%20Slavery%20-%20California%20Statement%202017.pdf,,03458224,"Textiles, Apparel & Luxury Goods",United Kingdom,false,true,true,false,2016-2017
23502,Burberry Limited,false,12162,https://www.burberryplc.com/content/dam/burberry/corporate/Responsibility/Responsibility_docs/Policies_statements/Policies/Updated_Policies/Modern%20Slavery%20-%20California%20Statement%202017.pdf,,00162636,"Textiles, Apparel & Luxury Goods",United Kingdom,true,true,true,false,2016-2017
7127,Burberry Group plc,true,8955,http://www.burberryplc.com/en/site-services/transparency-in-the-supply-chain-and-modern-slavery-statement.html,,03458224,"Textiles, Apparel & Luxury Goods",United Kingdom,false,true,true,false,2015-2016
7144,Camira Group Holdings Limited,true,34843,https://www.camirafabrics.com/getmedia/3bab429e-6a17-4381-852f-b48290ec39fc/POL-SPURC-001-R3_Modern-Slavery-Statement_UK,,09512739,"Textiles, Apparel & Luxury Goods",United Kingdom,false,true,true,false,2018
28397,Camira Fabrics GmbH,false,34843,https://www.camirafabrics.com/getmedia/3bab429e-6a17-4381-852f-b48290ec39fc/POL-SPURC-001-R3_Modern-Slavery-Statement_UK,,,"Textiles, Apparel & Luxury Goods",Germany,true,true,true,false,2018
28393,Camira Fabrics Limited,false,34843,https://www.camirafabrics.com/getmedia/3bab429e-6a17-4381-852f-b48290ec39fc/POL-SPURC-001-R3_Modern-Slavery-Statement_UK,,02215654,"Textiles, Apparel & Luxury Goods",United Kingdom,true,true,true,false,2018
28399,Camira Fabrics Shanghai Ltd,false,34843,https://www.camirafabrics.com/getmedia/3bab429e-6a17-4381-852f-b48290ec39fc/POL-SPURC-001-R3_Modern-Slavery-Statement_UK,,,"Textiles, Apparel & Luxury Goods",China,true,true,true,false,2018
